Prompt,Method,Prior,AR,VSD,MSSD,MSPD,ADD,mIou
No name(descnoly),Soryon,Oracle,33.3,13.2,42.2,44.5,23.6,100
No name(descnoly),Soryon,Ours,31.7,11.6,40.3,43.1,22.4,70.8
No name(descnoly),Soryon(S),Ours,31.8,11.7,40.7,43.2,22.2,70.8
Generic(no),Soryon,Oracle,33.2,13.1,42.1,44.4,23.8,100
Generic(no),Soryon,Ours,31.7,11.7,40.4,43.0,22.4,70.8
Generic(no),Soryon(S),Ours,31.8,11.7,40.6,43.1,22.2,70.8
Misleading(wrong),Soryon,Oracle,32.8,12.3,41.6,44.6,23.5,100
Misleading(wrong),Soryon,Ours,27.5,10.0,34.4,38.2,18.8,63.9
Misleading(wrong),Soryon(S),Ours,27.5,10.1,34.3,38.2,18.7,63.9
Standard(yes),Soryon,Oracle,33.3,12.1,42.5,45.1,22.4,100
Standard(yes),Soryon,Ours,30.8,11.2,39.1,42.1,21.7,69.5
Standard(yes),Soryon(S),Ours,30.8,11.0,39.1,42.2,22.1,68.5